Opponent: allinordie
UPDATE@ opponent: allinordie, command: CARD, data: 2
UPDATE@ opponent: allinordie, command: RECEIVE_BUTTON, data: 
UPDATE@ opponent: allinordie, command: RECEIVE_CHIPS, data: 0
UPDATE@ opponent: allinordie, command: CARD, data: 8
UPDATE@ opponent: allinordie, command: POST_BLIND, data: 
UPDATE@ opponent: allinordie, command: OPPONENT_MOVE, data: BET:20
UPDATE@ opponent: allinordie, command: RECEIVE_CHIPS, data: 0
UPDATE@ opponent: allinordie, command: CARD, data: 6
UPDATE@ opponent: allinordie, command: RECEIVE_BUTTON, data: 
UPDATE@ opponent: allinordie, command: RECEIVE_CHIPS, data: 0
UPDATE@ opponent: allinordie, command: CARD, data: 9
UPDATE@ opponent: allinordie, command: POST_BLIND, data: 
UPDATE@ opponent: allinordie, command: OPPONENT_MOVE, data: FOLD
UPDATE@ opponent: allinordie, command: RECEIVE_CHIPS, data: 1
UPDATE@ opponent: allinordie, command: CARD, data: 4
UPDATE@ opponent: allinordie, command: RECEIVE_BUTTON, data: 
UPDATE@ opponent: allinordie, command: RECEIVE_CHIPS, data: 0
UPDATE@ opponent: allinordie, command: CARD, data: 3
UPDATE@ opponent: allinordie, command: POST_BLIND, data: 
UPDATE@ opponent: allinordie, command: OPPONENT_MOVE, data: FOLD
UPDATE@ opponent: allinordie, command: RECEIVE_CHIPS, data: 1
UPDATE@ opponent: allinordie, command: CARD, data: 9
UPDATE@ opponent: allinordie, command: RECEIVE_BUTTON, data: 
UPDATE@ opponent: allinordie, command: RECEIVE_CHIPS, data: 0
UPDATE@ opponent: allinordie, command: CARD, data: 2
UPDATE@ opponent: allinordie, command: POST_BLIND, data: 
UPDATE@ opponent: allinordie, command: OPPONENT_MOVE, data: BET:20
UPDATE@ opponent: allinordie, command: RECEIVE_CHIPS, data: 0
UPDATE@ opponent: allinordie, command: CARD, data: 5
UPDATE@ opponent: allinordie, command: RECEIVE_BUTTON, data: 
UPDATE@ opponent: allinordie, command: RECEIVE_CHIPS, data: 0
UPDATE@ opponent: allinordie, command: CARD, data: 9
UPDATE@ opponent: allinordie, command: POST_BLIND, data: 
UPDATE@ opponent: allinordie, command: OPPONENT_MOVE, data: FOLD
UPDATE@ opponent: allinordie, command: RECEIVE_CHIPS, data: 1
UPDATE@ opponent: allinordie, command: CARD, data: 6
UPDATE@ opponent: allinordie, command: RECEIVE_BUTTON, data: 
UPDATE@ opponent: allinordie, command: RECEIVE_CHIPS, data: 0
UPDATE@ opponent: allinordie, command: CARD, data: 5
UPDATE@ opponent: allinordie, command: POST_BLIND, data: 
UPDATE@ opponent: allinordie, command: OPPONENT_MOVE, data: CALL
UPDATE@ opponent: allinordie, command: CARD, data: 7
UPDATE@ opponent: allinordie, command: RECEIVE_BUTTON, data: 
UPDATE@ opponent: allinordie, command: RECEIVE_CHIPS, data: 0
UPDATE@ opponent: allinordie, command: CARD, data: A
UPDATE@ opponent: allinordie, command: POST_BLIND, data: 
UPDATE@ opponent: allinordie, command: OPPONENT_MOVE, data: CALL
MOVE@ opponent:allinordie, move:BET:1000
UPDATE@ opponent: allinordie, command: OPPONENT_MOVE, data: FOLD
UPDATE@ opponent: allinordie, command: RECEIVE_CHIPS, data: 98
UPDATE@ opponent: allinordie, command: CARD, data: K
UPDATE@ opponent: allinordie, command: RECEIVE_BUTTON, data: 
MOVE@ opponent:allinordie, move:BET:25
UPDATE@ opponent: allinordie, command: OPPONENT_MOVE, data: FOLD
UPDATE@ opponent: allinordie, command: RECEIVE_CHIPS, data: 26
UPDATE@ opponent: allinordie, command: CARD, data: 5
UPDATE@ opponent: allinordie, command: POST_BLIND, data: 
UPDATE@ opponent: allinordie, command: OPPONENT_MOVE, data: FOLD
UPDATE@ opponent: allinordie, command: RECEIVE_CHIPS, data: 1
UPDATE@ opponent: allinordie, command: CARD, data: 5
UPDATE@ opponent: allinordie, command: RECEIVE_BUTTON, data: 
Opponent: WhaleOil-BeefHooked
UPDATE@ opponent: WhaleOil-BeefHooked, command: CARD, data: K
UPDATE@ opponent: WhaleOil-BeefHooked, command: POST_BLIND, data: 
UPDATE@ opponent: WhaleOil-BeefHooked, command: OPPONENT_MOVE, data: FOLD
UPDATE@ opponent: WhaleOil-BeefHooked, command: RECEIVE_CHIPS, data: 1
UPDATE@ opponent: WhaleOil-BeefHooked, command: CARD, data: 6
UPDATE@ opponent: WhaleOil-BeefHooked, command: RECEIVE_BUTTON, data: 
UPDATE@ opponent: WhaleOil-BeefHooked, command: RECEIVE_CHIPS, data: 0
UPDATE@ opponent: WhaleOil-BeefHooked, command: CARD, data: 2
UPDATE@ opponent: WhaleOil-BeefHooked, command: POST_BLIND, data: 
UPDATE@ opponent: WhaleOil-BeefHooked, command: OPPONENT_MOVE, data: BET
UPDATE@ opponent: WhaleOil-BeefHooked, command: RECEIVE_CHIPS, data: 0
UPDATE@ opponent: WhaleOil-BeefHooked, command: CARD, data: 2
UPDATE@ opponent: WhaleOil-BeefHooked, command: RECEIVE_BUTTON, data: 
UPDATE@ opponent: WhaleOil-BeefHooked, command: RECEIVE_CHIPS, data: 0
UPDATE@ opponent: WhaleOil-BeefHooked, command: CARD, data: 3
UPDATE@ opponent: WhaleOil-BeefHooked, command: POST_BLIND, data: 
UPDATE@ opponent: WhaleOil-BeefHooked, command: OPPONENT_MOVE, data: BET
UPDATE@ opponent: WhaleOil-BeefHooked, command: RECEIVE_CHIPS, data: 0
